CALL_MAN,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,EXPECTATION,
0,67500,4800,0,68100,39600,
0,62700,9600,0,68100,39600,
0,62700,9000,0,68700,39600,
0,62700,0,0,77700,39600,
0,62700,0,0,82200,35100,
0,61200,0,0,81000,37800,
0,61200,0,0,81000,37800,
0,60600,0,0,81600,37800,
0,60600,0,0,81600,37800,
0,58200,0,0,81600,40200,
0,58200,0,0,80100,41700,
0,64200,0,0,80100,35700,
0,55800,0,0,88500,35700,
0,55800,0,0,88500,35700,
0,55800,0,0,88500,35700,
0,48600,0,0,95700,35700,
0,48600,0,0,91200,40200,
0,47100,0,0,91200,41700,
0,47100,0,0,91200,41700,
0,53100,0,0,85200,41700,
0,53100,0,0,85200,41700,
0,53100,0,0,81600,45300,
0,53100,0,0,83100,43800,
0,57600,0,0,83100,39300,
0,57600,0,0,83100,39300,
0,57000,0,0,83700,39300,
0,57000,0,0,78300,44700,
0,51600,0,0,78300,50100,
0,51600,0,0,78900,49500,
0,57600,0,0,78900,43500,
0,57600,0,0,78900,43500,
0,58200,0,0,78300,43500,
0,58200,0,0,78300,43500,
0,57300,0,0,78300,44400,
0,57300,0,0,84600,38100,
0,63300,0,0,84600,32100,
0,63300,0,0,84600,32100,
0,69300,0,0,78600,32100,
0,69300,0,0,78600,32100,
0,63900,0,0,84000,32100,
0,57900,0,0,78000,44100,
0,62400,0,0,78000,39600,
0,66000,0,0,74400,39600,
0,65400,0,0,75000,39600,
0,72600,0,0,67800,39600,
0,72900,0,0,67800,39300,
0,72900,0,0,72300,34800,
0,71700,0,0,72300,36000,
0,71700,0,0,72300,36000,
0,72300,0,0,71700,36000,
0,72300,0,0,71700,36000,
0,75900,0,0,71700,32400,
0,69900,0,0,71100,39000,
0,72900,0,0,71100,36000,
0,72900,0,0,71100,36000,
0,70500,0,0,73500,36000,
0,75900,0,0,73500,30600,
0,68700,0,0,80700,30600,
0,69900,0,0,80100,30000,
0,67200,0,0,84000,28800,
0,67200,0,0,84000,28800,
0,66000,0,0,83400,30600,
0,57000,0,0,92400,30600,
0,60900,0,0,92400,26700,
0,54900,0,0,91800,33300,
0,59100,0,0,90600,30300,
0,59100,0,0,90600,30300,
0,58500,0,0,91200,30300,
0,58500,0,0,91200,30300,
0,60300,0,0,91200,28500,
0,60300,0,0,89700,30000,
0,63300,0,0,89700,27000,
0,56700,0,0,96300,27000,
0,56100,0,0,96900,27000,
0,56100,0,0,96900,27000,
0,61500,0,0,96900,21600,
0,58800,0,0,100500,20700,
0,57300,0,0,100500,22200,
0,57300,0,0,100500,22200,
0,63300,0,0,94500,22200,
0,52500,0,0,105300,22200,
0,51600,0,0,105300,23100,
0,51600,0,0,108300,20100,
0,50100,0,0,108300,21600,
0,54900,0,0,103500,21600,
0,52500,0,0,105900,21600,
0,54300,0,0,105900,19800,
0,54300,0,0,105900,19800,
0,54300,0,0,107400,18300,
0,55500,0,0,107400,17100,
0,55500,0,0,107400,17100,
0,51000,0,0,106800,22200,
0,45600,0,0,101400,33000,
0,45600,0,0,101400,33000,
0,45600,0,0,111000,23400,
0,34200,0,0,99600,46200,
0,34200,0,0,99600,46200,
0,33600,0,0,100200,46200,
0,37200,0,0,96600,46200,
0,33600,0,0,100200,46200,
0,32100,0,0,99000,48900,
0,36600,0,0,99000,44400,
0,36600,0,0,99000,44400,
0,43200,0,0,98400,38400,
0,41400,0,0,100200,38400,
0,41400,0,0,100200,38400,
0,43800,0,0,99000,37200,
0,45000,0,0,99000,36000,
0,45000,0,0,99000,36000,
0,43800,0,0,98400,37800,
0,42900,0,0,98400,38700,
0,37500,0,0,98400,44100,
0,37500,0,0,96900,45600,
0,43500,0,0,96900,39600,
0,43500,0,0,96900,39600,
0,42900,0,0,97500,39600,
0,39600,0,0,104400,36000,
0,28800,0,0,115200,36000,
0,30900,0,0,114600,34500,
0,36900,0,0,114600,28500,
0,40500,0,0,111000,28500,
0,39900,0,0,105000,35100,
0,39900,0,0,105000,35100,
0,39000,0,0,105000,36000,
0,39000,0,0,99000,42000,
0,37800,0,0,103200,39000,
0,37800,0,0,103200,39000,
0,30000,0,0,111000,39000,
0,30000,0,0,111000,39000,
0,19200,0,0,121800,39000,
0,25800,0,0,121200,33000,
0,28800,0,0,121200,30000,
0,21300,0,0,112200,46500,
0,15300,0,0,106200,58500,
0,15300,0,0,106200,58500,
0,6900,0,0,114600,58500,
0,6900,0,0,106800,66300,
0,6000,0,0,119100,54900,
0,6000,0,0,119100,54900,
0,12600,0,0,118500,48900,
0,12600,0,0,118500,48900,
0,12600,0,0,118500,48900,
0,12600,0,0,117000,50400,
0,13200,0,0,117000,49800,
0,13200,0,0,117000,49800,
0,13800,0,0,116400,49800,
0,6600,0,0,109200,64200,
0,3000,0,0,112800,64200,
0,3000,0,0,117300,59700,
0,1800,0,0,120000,58200,
0,1800,0,0,120000,58200,
0,0,0,0,121800,58200,
0,0,0,0,121800,58200,
0,0,0,0,123600,56400,
0,0,0,0,125100,54900,
0,0,0,0,125700,54300,
0,0,0,0,125700,54300,
0,0,0,0,125700,54300,
0,0,0,0,125700,54300,
0,0,0,0,125700,54300,
0,0,0,0,124200,55800,
0,0,0,0,121200,58800,
0,0,0,0,121200,58800,
0,0,0,0,117600,62400,
0,0,0,0,117600,62400,
0,0,0,0,115800,64200,
0,0,0,0,118800,61200,
0,0,0,0,117600,62400,
0,0,0,0,117600,62400,
0,0,0,0,117600,62400,
0,0,0,0,123000,57000,
0,0,0,0,123000,57000,
0,0,0,0,121500,58500,
0,0,0,0,120000,60000,
0,0,0,0,120000,60000,
0,0,0,0,118200,61800,
0,0,0,0,112800,67200,
0,0,0,0,112800,67200,
0,0,0,0,111300,68700,
0,0,0,0,116100,63900,
0,0,0,0,123300,56700,
0,0,0,0,123300,56700,
0,0,0,0,123300,56700,
0,0,0,0,117900,62100,
0,0,0,0,116400,63600,
0,0,0,0,115200,64800,
0,0,0,0,115200,64800,
0,0,0,0,124200,55800,
0,0,0,0,124200,55800,
0,0,0,0,124200,55800,
0,0,0,0,123000,57000,
0,0,0,0,121500,58500,
0,0,0,0,121500,58500,
0,0,0,0,121500,58500,
0,0,0,0,135900,44100,
0,0,0,0,135900,44100,
0,0,0,0,135900,44100,
0,0,0,0,132900,47100,
0,0,0,0,132900,47100,
0,0,0,0,136500,43500,
0,0,0,0,136500,43500,
0,0,0,0,136500,43500,
0,0,0,0,137100,42900,
0,0,0,0,135600,44400,
0,0,0,0,135600,44400,
0,0,0,0,135600,44400,
0,0,0,0,135600,44400,
0,0,0,0,135600,44400,
0,0,0,0,134100,45900,
0,0,0,0,132600,47400,
0,0,0,0,132600,47400,
0,0,0,0,132600,47400,
0,0,0,0,132600,47400,
0,0,0,0,132600,47400,
0,0,0,0,138600,41400,
0,0,0,0,139800,40200,
0,0,0,0,139800,40200,
0,0,0,0,148800,31200,
0,0,0,0,148800,31200,
0,0,0,0,148800,31200,
0,0,0,0,150300,29700,
0,0,0,0,149100,30900,
0,0,0,0,149100,30900,
0,0,0,0,149100,30900,
0,0,0,0,149100,30900,
0,0,0,0,154500,25500,
0,0,0,0,153000,27000,
0,0,0,0,147000,33000,
0,0,0,0,147000,33000,
0,0,0,0,152400,27600,
0,0,0,0,152400,27600,
0,0,0,0,152400,27600,
0,0,0,0,151500,28500,
0,0,0,0,150000,30000,
0,0,0,0,150000,30000,
0,0,0,0,150000,30000,
0,0,0,0,150000,30000,
0,0,0,0,150000,30000,
0,0,0,0,151200,28800,
0,0,0,0,152100,27900,
0,0,0,0,159300,20700,
0,0,0,0,159300,20700,
0,0,0,0,159300,20700,
0,0,0,0,159300,20700,
0,0,0,0,160800,19200,
0,0,0,0,168600,11400,
0,0,0,0,165000,15000,
0,0,0,0,165000,15000,
0,0,0,0,163200,16800,
0,0,0,0,163200,16800,
0,0,0,0,161700,18300,
0,0,0,0,163200,16800,
0,0,0,0,163200,16800,
0,0,0,0,163200,16800,
0,0,0,0,168600,11400,
0,0,0,0,168600,11400,
0,0,0,0,167400,12600,
0,0,0,0,165900,14100,
0,0,0,0,165900,14100,
0,0,0,0,165900,14100,
0,0,0,0,165900,14100,
0,0,0,0,178500,1500,
0,0,0,0,179400,600,
0,0,0,0,178800,1200,
0,0,0,0,178800,1200,
0,0,0,0,177600,2400,
0,0,0,0,177600,2400,
0,0,0,0,177600,2400,
0,0,0,0,175200,4800,
0,0,0,0,176400,3600,
0,0,0,0,176400,3600,
0,0,0,0,176400,3600,
0,0,0,0,174600,5400,
0,0,0,0,174600,5400,
0,0,0,0,173100,6900,
0,0,0,0,171600,8400,
0,0,0,0,171600,8400,
0,0,0,0,171600,8400,
0,0,0,0,171600,8400,
0,0,0,0,169800,10200,
0,0,0,0,168300,11700,
0,0,0,0,166800,13200,
0,0,0,0,165000,15000,
0,0,0,0,165000,15000,
0,0,0,0,165000,15000,
0,0,0,0,165000,15000,
0,0,0,0,169500,10500,
0,0,0,0,174000,6000,
0,0,0,0,174000,6000,
0,0,0,0,175800,4200,
0,0,0,0,175800,4200,
0,0,0,0,175800,4200,
0,0,0,0,178800,1200,
0,0,0,0,180000,0,
