EXPECTATION,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,EXPECTATION,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,
0,0,115800,0,0,424200,
0,0,116400,0,0,423600,
0,0,105600,0,0,434400,
0,0,105600,0,0,434400,
0,0,109800,0,0,430200,
0,0,113400,0,0,426600,
0,0,113400,0,0,426600,
0,0,112800,0,0,427200,
0,0,112800,0,0,427200,
0,0,111000,0,0,429000,
0,0,108600,0,0,431400,
0,0,108600,0,0,431400,
0,0,108600,0,0,431400,
0,0,112800,0,0,427200,
0,0,112800,0,0,427200,
0,0,116400,0,0,423600,
0,0,124200,0,0,415800,
0,0,126000,0,0,414000,
0,0,126000,0,0,414000,
0,0,126600,0,0,413400,
0,0,123000,0,0,417000,
0,0,123000,0,0,417000,
0,0,122400,0,0,417600,
0,0,122400,0,0,417600,
0,0,122400,0,0,417600,
0,0,123000,0,0,417000,
0,0,133800,0,0,406200,
0,0,133800,0,0,406200,
0,0,133200,0,0,406800,
0,0,127800,0,0,412200,
0,0,127800,0,0,412200,
0,0,137100,0,0,402900,
0,0,137100,0,0,402900,
0,0,133500,0,0,406500,
0,0,127500,0,0,412500,
0,0,127500,0,0,412500,
0,0,127500,0,0,412500,
0,0,119700,0,0,420300,
0,0,126900,0,0,413100,
0,0,126900,0,0,413100,
0,0,126300,0,0,413700,
0,0,117300,0,0,422700,
0,0,119100,0,0,420900,
0,0,106200,0,0,433800,
0,0,106200,0,0,433800,
0,0,106200,0,0,433800,
0,0,94800,0,0,445200,
0,0,94800,0,0,445200,
0,0,94800,0,0,445200,
0,0,88800,0,0,451200,
0,0,88800,0,0,451200,
0,0,88800,0,0,451200,
0,0,89400,0,0,450600,
0,0,89400,0,0,450600,
0,0,89400,0,0,450600,
0,0,90000,0,0,450000,
0,0,90000,0,0,450000,
0,0,90000,0,0,450000,
0,0,89400,0,0,450600,
0,0,94800,0,0,445200,
0,0,94800,0,0,445200,
0,0,95400,0,0,444600,
0,0,91800,0,0,448200,
0,0,91800,0,0,448200,
0,0,80400,0,0,459600,
0,0,80400,0,0,459600,
0,0,80400,0,0,459600,
0,0,81000,0,0,459000,
0,0,75600,0,0,464400,
0,0,73800,0,0,466200,
0,0,74400,0,0,465600,
0,0,70800,0,0,469200,
0,0,70800,0,0,469200,
0,0,70200,0,0,469800,
0,0,70200,0,0,469800,
0,0,70200,0,0,469800,
0,0,70200,0,0,469800,
0,0,70200,0,0,469800,
0,0,70200,0,0,469800,
0,0,64500,0,0,475500,
0,0,69900,0,0,470100,
0,0,71700,0,0,468300,
0,0,72300,0,0,467700,
0,0,72300,0,0,467700,
0,0,72300,0,0,467700,
0,0,72900,0,0,467100,
0,0,83700,0,0,456300,
0,0,83700,0,0,456300,
0,0,84300,0,0,455700,
0,0,84300,0,0,455700,
0,0,84300,0,0,455700,
0,0,83700,0,0,456300,
0,0,83700,0,0,456300,
0,0,83700,0,0,456300,
0,0,79500,0,0,460500,
0,0,79500,0,0,460500,
0,0,72300,0,0,467700,
0,0,78300,0,0,461700,
0,0,81900,0,0,458100,
0,0,81900,0,0,458100,
0,0,81300,0,0,458700,
0,0,81300,0,0,458700,
0,0,81300,0,0,458700,
0,0,80700,0,0,459300,
0,0,87900,0,0,452100,
0,0,87900,0,0,452100,
0,0,81900,0,0,458100,
0,0,81900,0,0,458100,
0,0,81900,0,0,458100,
0,0,82500,0,0,457500,
0,0,82500,0,0,457500,
0,0,82500,0,0,457500,
0,0,82500,0,0,457500,
0,0,77100,0,0,462900,
0,0,77100,0,0,462900,
0,0,77700,0,0,462300,
0,0,84900,0,0,455100,
0,0,84900,0,0,455100,
0,0,85500,0,0,454500,
0,0,83700,0,0,456300,
0,0,80100,0,0,459900,
0,0,82500,0,0,457500,
0,0,89700,0,0,450300,
0,0,89700,0,0,450300,
0,0,90300,0,0,449700,
0,0,90300,0,0,449700,
0,0,92100,0,0,447900,
0,0,91500,0,0,448500,
0,0,91500,0,0,448500,
0,0,102300,0,0,437700,
0,0,110100,0,0,429900,
0,0,99300,0,0,440700,
0,0,99300,0,0,440700,
0,0,95100,0,0,444900,
0,0,95100,0,0,444900,
0,0,105900,0,0,434100,
0,0,98100,0,0,441900,
0,0,98100,0,0,441900,
0,0,99900,0,0,440100,
0,0,99900,0,0,440100,
0,0,110700,0,0,429300,
0,0,119700,0,0,420300,
0,0,119100,0,0,420900,
0,0,119100,0,0,420900,
0,0,119100,0,0,420900,
0,0,128700,0,0,411300,
0,0,128700,0,0,411300,
0,0,128700,0,0,411300,
0,0,128100,0,0,411900,
0,0,128100,0,0,411900,
0,0,126300,0,0,413700,
0,0,126300,0,0,413700,
0,0,129900,0,0,410100,
0,0,129900,0,0,410100,
0,0,139500,0,0,400500,
0,0,139500,0,0,400500,
0,0,139500,0,0,400500,
0,0,133500,0,0,406500,
0,0,133500,0,0,406500,
0,0,131700,0,0,408300,
0,0,131100,0,0,408900,
0,0,131100,0,0,408900,
0,0,123900,0,0,416100,
0,0,123900,0,0,416100,
0,0,116700,0,0,423300,
0,0,116700,0,0,423300,
0,0,117300,0,0,422700,
0,0,111900,0,0,428100,
0,0,111900,0,0,428100,
0,0,112500,0,0,427500,
0,0,112500,0,0,427500,
0,0,112500,0,0,427500,
0,0,113100,0,0,426900,
0,0,113100,0,0,426900,
0,0,113100,0,0,426900,
0,0,113100,0,0,426900,
0,0,113100,0,0,426900,
0,0,113100,0,0,426900,
0,0,112500,0,0,427500,
0,0,112500,0,0,427500,
0,0,112500,0,0,427500,
0,0,122100,0,0,417900,
0,0,122100,0,0,417900,
0,0,122100,0,0,417900,
0,0,117900,0,0,422100,
0,0,117900,0,0,422100,
0,0,117900,0,0,422100,
0,0,118500,0,0,421500,
0,0,129300,0,0,410700,
0,0,129300,0,0,410700,
0,0,129900,0,0,410100,
0,0,129900,0,0,410100,
0,0,129900,0,0,410100,
0,0,135900,0,0,404100,
0,0,135900,0,0,404100,
0,0,135900,0,0,404100,
0,0,133500,0,0,406500,
0,0,133500,0,0,406500,
0,0,137100,0,0,402900,
0,0,137700,0,0,402300,
0,0,137700,0,0,402300,
0,0,132300,0,0,407700,
0,0,131700,0,0,408300,
0,0,131700,0,0,408300,
0,0,131700,0,0,408300,
0,0,132300,0,0,407700,
0,0,137700,0,0,402300,
0,0,137700,0,0,402300,
0,0,131700,0,0,408300,
0,0,131700,0,0,408300,
0,0,131700,0,0,408300,
0,0,131700,0,0,408300,
0,0,131700,0,0,408300,
0,0,131700,0,0,408300,
0,0,132300,0,0,407700,
0,0,132300,0,0,407700,
0,0,132300,0,0,407700,
0,0,138300,0,0,401700,
0,0,138300,0,0,401700,
0,0,141900,0,0,398100,
0,0,135900,0,0,404100,
0,0,135900,0,0,404100,
0,0,135900,0,0,404100,
0,0,143700,0,0,396300,
0,0,143700,0,0,396300,
0,0,143700,0,0,396300,
0,0,143100,0,0,396900,
0,0,135900,0,0,404100,
0,0,135900,0,0,404100,
0,0,135300,0,0,404700,
0,0,135300,0,0,404700,
0,0,135300,0,0,404700,
0,0,143100,0,0,396900,
0,0,143100,0,0,396900,
0,0,150300,0,0,389700,
0,0,150900,0,0,389100,
0,0,150900,0,0,389100,
0,0,150900,0,0,389100,
0,0,143100,0,0,396900,
0,0,143100,0,0,396900,
0,0,143100,0,0,396900,
0,0,142500,0,0,397500,
0,0,153300,0,0,386700,
0,0,153300,0,0,386700,
0,0,143700,0,0,396300,
0,0,143700,0,0,396300,
0,0,147300,0,0,392700,
0,0,147300,0,0,392700,
0,0,147300,0,0,392700,
0,0,147300,0,0,392700,
0,0,146700,0,0,393300,
0,0,146700,0,0,393300,
0,0,146700,0,0,393300,
0,0,152700,0,0,387300,
0,0,150900,0,0,389100,
0,0,161700,0,0,378300,
0,0,161100,0,0,378900,
0,0,164700,0,0,375300,
0,0,168300,0,0,371700,
0,0,167700,0,0,372300,
0,0,160500,0,0,379500,
0,0,160500,0,0,379500,
0,0,152700,0,0,387300,
0,0,152700,0,0,387300,
0,0,152700,0,0,387300,
0,0,153300,0,0,386700,
0,0,153300,0,0,386700,
0,0,153300,0,0,386700,
0,0,161100,0,0,378900,
0,0,161100,0,0,378900,
0,0,161100,0,0,378900,
0,0,156900,0,0,383100,
0,0,147900,0,0,392100,
0,0,149700,0,0,390300,
0,0,150300,0,0,389700,
0,0,150300,0,0,389700,
0,0,148500,0,0,391500,
0,0,154500,0,0,385500,
0,0,154500,0,0,385500,
0,0,156300,0,0,383700,
0,0,155700,0,0,384300,
0,0,146700,0,0,393300,
0,0,139500,0,0,400500,
0,0,140100,0,0,399900,
0,0,140100,0,0,399900,
0,0,140100,0,0,399900,
0,0,139500,0,0,400500,
0,0,139500,0,0,400500,
0,0,139500,0,0,400500,
0,0,133500,0,0,406500,
0,0,133500,0,0,406500,
0,0,137100,0,0,402900,
0,0,137700,0,0,402300,
0,0,137700,0,0,402300,
0,0,132300,0,0,407700,
0,0,138300,0,0,401700,
0,0,138300,0,0,401700,
0,0,138300,0,0,401700,
0,0,138900,0,0,401100,
0,0,138900,0,0,401100,
0,0,131700,0,0,408300,
0,0,125700,0,0,414300,
0,0,120300,0,0,419700,
0,0,116700,0,0,423300,
0,0,116100,0,0,423900,
0,0,116100,0,0,423900,
0,0,116100,0,0,423900,
0,0,108300,0,0,431700,
0,0,108300,0,0,431700,
0,0,110100,0,0,429900,
0,0,109500,0,0,430500,
0,0,102300,0,0,437700,
0,0,102300,0,0,437700,
0,0,90900,0,0,449100,
0,0,90900,0,0,449100,
0,0,90900,0,0,449100,
0,0,79500,0,0,460500,
0,0,79500,0,0,460500,
0,0,83100,0,0,456900,
0,0,83700,0,0,456300,
0,0,83700,0,0,456300,
0,0,83700,0,0,456300,
0,0,81300,0,0,458700,
0,0,81300,0,0,458700,
0,0,70500,0,0,469500,
0,0,78300,0,0,461700,
0,0,85500,0,0,454500,
0,0,85500,0,0,454500,
0,0,74100,0,0,465900,
0,0,74100,0,0,465900,
0,0,74100,0,0,465900,
0,0,74700,0,0,465300,
0,0,65700,0,0,474300,
0,0,63900,0,0,476100,
0,0,63300,0,0,476700,
0,0,63300,0,0,476700,
0,0,63300,0,0,476700,
0,0,65700,0,0,474300,
0,0,65700,0,0,474300,
0,0,65700,0,0,474300,
0,0,56100,0,0,483900,
0,0,47100,0,0,492900,
0,0,47100,0,0,492900,
0,0,46500,0,0,493500,
0,0,51900,0,0,488100,
0,0,51900,0,0,488100,
0,0,52500,0,0,487500,
0,0,52500,0,0,487500,
0,0,56100,0,0,483900,
0,0,55500,0,0,484500,
0,0,55500,0,0,484500,
0,0,55500,0,0,484500,
0,0,49500,0,0,490500,
0,0,49500,0,0,490500,
0,0,49500,0,0,490500,
0,0,48900,0,0,491100,
0,0,48900,0,0,491100,
0,0,48900,0,0,491100,
0,0,49500,0,0,490500,
0,0,49500,0,0,490500,
0,0,49500,0,0,490500,
0,0,48900,0,0,491100,
0,0,56100,0,0,483900,
0,0,59700,0,0,480300,
0,0,59100,0,0,480900,
0,0,59100,0,0,480900,
0,0,59100,0,0,480900,
0,0,58500,0,0,481500,
0,0,58500,0,0,481500,
0,0,58500,0,0,481500,
0,0,57900,0,0,482100,
0,0,57900,0,0,482100,
0,0,57900,0,0,482100,
0,0,50400,0,0,489600,
0,0,59400,0,0,480600,
0,0,57600,0,0,482400,
0,0,61800,0,0,478200,
0,0,65400,0,0,474600,
0,0,65400,0,0,474600,
0,0,71400,0,0,468600,
0,0,82200,0,0,457800,
0,0,82200,0,0,457800,
0,0,91500,0,0,448500,
0,0,91500,0,0,448500,
0,0,91500,0,0,448500,
0,0,90900,0,0,449100,
0,0,90900,0,0,449100,
0,0,90900,0,0,449100,
0,0,91500,0,0,448500,
0,0,91500,0,0,448500,
0,0,91500,0,0,448500,
0,0,92100,0,0,447900,
0,0,92100,0,0,447900,
0,0,92100,0,0,447900,
0,0,103500,0,0,436500,
0,0,108900,0,0,431100,
