EXPECTATION,EXPECTATION,SIMPLE_RANGE_EXP_IMP,EXACT_RANGE_EXP,EXACT_RANGE_EXP
14800,12700,7900,2800,11800
14800,12700,7900,2500,12100
14200,12700,7900,2500,12700
12700,11800,10300,2500,12700
12700,11200,10900,2500,12700
12700,11200,11500,1900,12700
12700,11200,11500,1600,13000
13000,11200,11500,1600,12700
12700,11500,11500,1600,12700
12700,11200,11800,1600,12700
12700,11200,10300,3100,12700
12700,11200,10300,2800,13000
13000,11200,10300,2800,12700
13600,10600,10300,2800,12700
13600,10300,10600,2800,12700
13600,10300,10300,3100,12700
13600,10300,10300,2800,13000
13900,10300,10300,2800,12700
13600,10600,10300,2800,12700
13600,10300,10600,2800,12700
13600,12700,9100,1900,12700
13600,12700,9100,1600,13000
13900,12700,9100,1600,12700
14500,12100,9100,1600,12700
14500,11800,9400,1600,12700
14500,11800,9100,1900,12700
14500,11800,9100,1600,13000
14800,11800,9100,1600,12700
13300,13300,9100,1600,12700
13300,13000,9400,1600,12700
13300,13000,9100,1900,12700
13300,13000,9100,1600,13000
13600,13000,9100,1600,12700
13300,13300,9100,1600,12700
13300,13000,9400,1600,12700
13300,13000,9100,1900,12700
13300,13000,9100,2500,12100
13600,13000,9100,2500,11800
13300,13300,9100,2500,11800
13300,13000,9400,2500,11800
13300,13000,9100,2800,11800
13300,13000,9100,2500,12100
13600,13000,9100,2500,11800
13300,13300,9100,2500,11800
13300,13000,9400,2500,11800
13300,13000,9100,2800,11800
13300,13000,9100,2500,12100
13600,13000,9100,2500,11800
13300,13300,9100,2500,11800
13300,13000,9400,2500,11800
13300,13000,9100,2800,11800
13300,13000,9100,2500,12100
13600,13000,9100,2500,11800
13300,13300,9100,2500,11800
13300,13000,9400,2500,11800
13300,13000,9100,2800,11800
13300,13000,9100,2500,12100
13600,13000,9100,2500,11800
13300,13300,9100,2500,11800
13300,13000,7600,2500,13600
13300,13000,7300,2800,13600
13300,13000,7300,2500,13900
13600,13000,7300,2500,13600
13300,13300,7300,2500,13600
13300,13000,7600,2500,13600
13300,13000,7300,2800,13600
13300,13000,7300,2500,13900
13600,13000,7300,2500,13600
14200,12400,7300,2500,13600
14200,12100,7600,2500,13600
14200,12100,8500,1600,13600
14200,12100,8500,1300,13900
14500,12100,8500,1300,13600
15100,11500,8500,1300,13600
15100,12100,7900,1300,13600
15100,12100,6600,2600,13600
15100,12100,6600,2000,14200
15400,12100,6600,2000,13900
14800,12700,6600,2000,13900
14800,12400,6900,2000,13900
14800,11800,8100,1400,13900
14800,11800,8100,1100,14200
15700,11800,8100,1100,13300
15400,12100,8100,1100,13300
15400,11500,8700,1100,13300
15400,11500,9300,500,13300
15400,11500,9300,200,13600
15700,11500,9300,200,13300
16300,10900,9300,200,13300
16300,10600,9600,200,13300
16300,10600,10200,200,12700
16300,10600,10200,200,12700
16600,10600,10200,200,12400
16300,10900,10200,200,12400
16300,11500,9600,200,12400
16300,11500,9300,200,12700
16300,11500,9300,200,12700
16600,11500,9300,200,12400
16300,11800,9300,200,12400
16300,11500,9600,200,12400
16300,11500,9300,200,12700
16300,11500,9300,200,12700
17500,11500,9300,200,11500
17200,11800,9300,200,11500
17200,11500,9600,200,11500
17200,11500,10800,200,10300
17200,11500,10800,200,10300
17500,11500,10800,200,10000
17200,11800,10800,200,10000
17200,11500,11100,200,10000
17200,11500,10800,200,10300
17200,11500,10800,200,10300
17500,11500,10800,200,10000
17200,11800,10800,200,10000
17200,11200,11400,200,10000
17200,11200,11100,200,10300
17200,11200,11100,200,10300
17500,11200,11100,200,10000
17200,11500,11100,200,10000
17200,11200,11400,200,10000
17200,11200,11100,200,10300
17200,11200,11100,200,10300
18700,11200,11100,200,8800
18400,10600,12000,200,8800
18400,10300,12300,200,8800
18400,10300,12900,200,8200
18400,10300,12900,200,8200
18700,10300,12900,200,7900
18400,10600,12900,200,7900
18400,10000,13500,200,7900
18400,10000,13200,200,8200
18400,10000,13200,200,8200
18700,10000,13200,200,7900
18400,10300,13200,200,7900
18400,10000,13500,200,7900
18400,10000,14400,200,7000
18400,10000,14400,200,7000
18700,10000,14400,200,6700
18400,10300,14400,200,6700
18400,10900,13800,200,6700
18400,10900,14400,200,6100
18400,10900,14400,200,6100
18700,10900,14400,200,5800
18400,11200,14400,200,5800
18400,10900,14700,200,5800
18400,10900,14400,200,6100
18400,10900,14400,200,6100
18700,10900,14400,200,5800
18400,11200,14400,200,5800
18400,10900,14700,200,5800
20800,10900,13800,200,4300
20800,10900,13800,200,4300
21100,10900,13800,200,4000
20800,11200,13800,200,4000
20800,10900,14100,200,4000
20800,10900,13800,200,4300
20800,10900,13800,200,4300
21100,10900,13800,200,4000
20800,11200,13800,200,4000
20800,10600,14400,200,4000
20800,10600,14100,200,4300
20800,10600,14100,200,4300
21100,10600,14100,200,4000
21700,10000,14100,200,4000
21700,9100,15000,200,4000
21700,9100,15600,200,3400
21700,9100,15600,200,3400
22000,9100,15600,200,3100
21700,9400,15600,200,3100
21700,9100,15900,200,3100
21700,9100,15600,200,3400
21700,9100,15600,200,3400
22000,9100,15600,200,3100
21700,9400,15600,200,3100
21700,9100,15900,200,3100
21700,9100,17100,200,1900
21700,9100,17100,200,1900
22000,9100,17100,200,1600
21700,9400,17100,200,1600
21700,9100,17400,200,1600
21700,9100,17100,200,1900
21700,9100,17100,200,1900
21700,9100,17100,200,1900
21400,9400,17100,200,1900
21400,9100,17400,200,1900
21400,9100,17100,200,2200
21400,9100,17100,200,2200
21700,9100,17100,200,1900
21400,9400,17100,200,1900
21400,9100,17400,200,1900
21400,9100,18000,200,1300
21400,9100,18000,200,1300
21700,9100,18000,200,1000
21400,9400,18000,200,1000
21400,9100,18300,200,1000
21400,9100,18000,200,1300
21400,9100,18000,200,1300
21700,9100,18000,200,1000
21400,9400,18000,200,1000
21400,9100,18300,200,1000
21400,9100,18000,200,1300
21400,9100,18000,200,1300
21700,9100,18000,200,1000
22300,8500,18000,200,1000
22300,9100,17400,200,1000
22300,9100,17100,200,1300
22300,9100,17100,200,1300
22600,9100,17100,200,1000
22300,9400,17100,200,1000
22300,9100,17400,200,1000
22300,9100,17100,200,1300
22300,9100,17100,200,1300
22600,9100,17100,200,1000
22300,9400,17100,200,1000
22300,8500,18000,200,1000
22300,8500,17000,200,2000
22300,8500,17000,200,2000
22600,8500,17000,200,1700
22300,8800,17000,200,1700
22300,8500,17300,200,1700
22300,8500,17000,200,2000
22300,8500,17000,200,2000
22600,8500,17000,200,1700
22300,8800,17000,200,1700
22300,8500,17300,200,1700
22300,8500,17000,200,2000
22300,8500,17000,200,2000
22600,8500,17000,200,1700
22000,9100,17000,200,1700
22000,8800,17300,200,1700
22000,8800,17000,200,2000
22000,8800,17000,200,2000
22900,8800,17000,200,1100
23500,8200,17000,200,1100
23500,7600,17600,200,1100
23500,9700,16100,200,500
23500,9700,16100,200,500
24000,9700,16100,200,0
22800,10900,16100,200,0
22800,11800,15200,200,0
21600,11800,16400,200,0
21600,11800,16400,200,0
21600,11800,16400,200,0
21300,12100,16400,200,0
21300,11800,16700,200,0
21600,11800,16400,200,0
21600,11800,16400,200,0
21600,11800,16400,200,0
21300,12100,16400,200,0
21300,11800,16700,200,0
22800,11800,15200,200,0
22800,11800,15200,200,0
22800,11800,15200,200,0
22500,12100,15200,200,0
22500,11800,15500,200,0
22800,11800,15200,200,0
22800,11800,15200,200,0
22800,11800,15200,200,0
22500,12100,15200,200,0
22500,11800,15500,200,0
22800,11800,15200,200,0
22800,11800,15200,200,0
22800,11800,15200,200,0
22500,12100,15200,200,0
22500,11800,15500,200,0
22800,11800,15200,200,0
22800,11800,15200,200,0
22800,11800,15200,200,0
22500,12100,15200,200,0
22500,11800,15500,200,0
22800,11800,15200,200,0
22800,11800,15200,200,0
22800,11800,15200,200,0
22500,12100,15200,200,0
22500,11800,15500,200,0
21900,11800,16100,200,0
21900,11800,16100,200,0
21900,11800,16100,200,0
22500,11200,16100,200,0
22500,10900,16400,200,0
22800,10900,16100,200,0
22800,10900,16100,200,0
22800,10900,16100,200,0
22500,11200,16100,200,0
22500,10900,16400,200,0
25500,9400,14900,200,0
25500,9400,14900,200,0
25500,9400,14900,200,0
26100,8800,14900,200,0
26100,8500,15200,200,0
26400,8500,14900,200,0
26400,8500,14900,200,0
26400,8500,14900,200,0
27600,7300,14900,200,0
27600,6700,15500,200,0
27900,6700,15200,200,0
27900,6700,15200,200,0
27900,6700,15200,200,0
27600,7000,15200,200,0
27600,6700,15500,200,0
27900,6700,15200,200,0
27900,6700,15200,200,0
27900,6700,15200,200,0
28500,6100,15200,200,0
28500,5800,15500,200,0
28800,5800,15200,200,0
28800,5800,15200,200,0
28800,5800,15200,200,0
28500,6100,15200,200,0
28500,5800,15500,200,0
28800,5800,15200,200,0
28800,5800,15200,200,0
28800,5800,15200,200,0
28500,6100,15200,200,0
28500,6700,14600,200,0
28800,6700,14300,200,0
28800,6700,14300,200,0
28800,6700,14300,200,0
28500,7000,14300,200,0
28500,6700,14600,200,0
28800,6700,14300,200,0
28800,6700,14300,200,0
28800,6700,14300,200,0
28500,7000,14300,200,0
28500,6700,14600,200,0
28800,6700,14300,200,0
28800,6700,14300,200,0
28800,6700,14300,200,0
28500,7000,14300,200,0
28500,6400,14900,200,0
28800,6400,14600,200,0
28800,6400,14600,200,0
28800,6400,14600,200,0
29400,5800,14600,200,0
29400,6400,14000,200,0
27900,6400,15500,200,0
27900,6400,15500,200,0
27900,6400,15500,200,0
29400,4900,15500,200,0
29400,4600,15800,200,0
28800,4600,16400,200,0
28800,4600,16400,200,0
28800,4600,16400,200,0
29400,4000,16400,200,0
29400,3700,16700,200,0
29700,3700,16400,200,0
29700,3700,16400,200,0
29700,3700,16400,200,0
29400,4000,16400,200,0
29400,3700,16700,200,0
29700,3700,16400,200,0
29700,3700,16400,200,0
29700,3700,16400,200,0
29400,4000,16400,200,0
29400,5500,14900,200,0
29700,5500,14600,200,0
29700,5500,14600,200,0
29700,5500,14600,200,0
29400,5800,14600,200,0
29400,5500,14900,200,0
29700,5500,14600,200,0
29700,5500,14600,200,0
29700,5500,14600,200,0
29400,5800,14600,200,0
29400,5500,14900,200,0
28500,5500,15800,200,0
28500,5500,15800,200,0
28500,5500,15800,200,0
29100,4900,15800,200,0
29100,3400,17300,200,0
29400,3400,17000,200,0
29400,3400,17000,200,0
29400,3400,17000,200,0
29100,3700,17000,200,0
29100,3400,17300,200,0
28500,3400,17900,200,0
28500,3400,17900,200,0
28500,3400,17900,200,0
28200,3700,17900,200,0
28200,3400,18200,200,0
28500,3400,17900,200,0
28500,3400,17900,200,0
28500,3400,17900,200,0
28200,3700,17900,200,0
28200,3400,18200,200,0
28500,3400,17900,200,0
28500,3400,17900,200,0
28500,3400,17900,200,0
28200,3700,17900,200,0
28200,3100,18500,200,0
28500,3100,18200,200,0
28500,3100,18200,200,0
28500,3100,18200,200,0
28200,3400,18200,200,0
28200,3100,18500,200,0
28500,3100,18200,200,0
28500,3100,18200,200,0
28500,3100,18200,200,0
28200,3400,18200,200,0
28200,2800,18800,200,0
28500,2800,18500,200,0
28500,2800,18500,200,0
28500,2800,18500,200,0
29100,2200,18500,200,0
29100,1900,18800,200,0
27600,1900,20300,200,0
27600,1900,20300,200,0
27600,1900,20300,200,0
27300,2200,20300,200,0
27300,2800,19700,200,0
27600,2800,19400,200,0
27600,2800,19400,200,0
27600,2800,19400,200,0
27300,3100,19400,200,0
27300,2800,19700,200,0
27600,2800,19400,200,0
27600,2800,19400,200,0
27600,2800,19400,200,0
27300,3100,19400,200,0
27300,2800,19700,200,0
27600,2800,19400,200,0
27600,2800,19400,200,0
27600,2800,19400,200,0
27300,3100,19400,200,0
27300,2800,19700,200,0
27600,2800,19400,200,0
27600,2800,19400,200,0
27600,2800,19400,200,0
28200,2200,19400,200,0
28200,1600,20000,200,0
29700,1600,18500,200,0
29700,1600,18500,200,0
29700,1600,18500,200,0
29400,1900,18500,200,0
29400,1000,19400,200,0
29700,1000,19100,200,0
29700,1000,19100,200,0
29700,1000,19100,200,0
29400,1300,19100,200,0
29400,1000,19400,200,0
28800,1000,20000,200,0
28800,1000,20000,200,0
28800,1000,20000,200,0
28500,1300,20000,200,0
28500,1000,20300,200,0
27300,1000,21500,200,0
27300,1000,21500,200,0
27300,1000,21500,200,0
27900,400,21500,200,0
27900,100,21800,200,0
28800,100,20900,200,0
28800,100,20900,200,0
28800,100,20900,200,0
28500,100,21200,200,0
28500,100,21200,200,0
28800,100,20900,200,0
28800,100,20900,200,0
28800,100,20900,200,0
28500,100,21200,200,0
28500,100,21200,200,0
27900,100,21800,200,0
27900,100,21800,200,0
27900,100,21800,200,0
27600,100,22100,200,0
27600,100,22100,200,0
27900,100,21800,200,0
27900,100,21800,200,0
27900,100,21800,200,0
27600,100,22100,200,0
27600,100,22100,200,0
27900,100,21800,200,0
27900,100,21800,200,0
27900,100,21800,200,0
27600,100,22100,200,0
27600,100,22100,200,0
29100,100,20600,200,0
29100,100,20600,200,0
29100,100,20600,200,0
28800,100,20900,200,0
28800,100,20900,200,0
29100,100,20600,200,0
29100,100,20600,200,0
29100,100,20600,200,0
28500,100,21200,200,0
28500,100,21200,200,0
27600,100,22100,200,0
27600,100,22100,200,0
27600,100,22100,200,0
27300,100,22400,200,0
27300,100,22400,200,0
27600,100,22100,200,0
27600,100,22100,200,0
27600,100,22100,200,0
27300,100,22400,200,0
27300,100,22400,200,0
27600,100,22100,200,0
27600,100,22100,200,0
27600,100,22100,200,0
27000,100,22700,200,0
27000,100,22700,200,0
27300,100,22400,200,0
27300,100,22400,200,0
27300,100,22400,200,0
27000,100,22700,200,0
27000,100,22700,200,0
27300,100,22400,200,0
27300,100,22400,200,0
27300,100,22400,200,0
26700,100,23000,200,0
26700,100,23000,200,0
27000,100,22700,200,0
27000,100,22700,200,0
27000,100,22700,200,0
26700,100,23000,200,0
26700,100,23000,200,0
27000,100,22700,200,0
27000,100,22700,200,0
27000,100,22700,200,0
26700,100,23000,200,0
26700,100,23000,200,0
27000,100,22700,200,0
27000,100,22700,200,0
27000,100,22700,200,0
26700,100,23000,200,0
26700,100,23000,200,0
27000,100,22700,200,0
27000,100,22700,200,0
27000,100,22700,200,0
26700,100,23000,200,0
26700,100,23000,200,0
27000,100,22700,200,0
27000,100,22700,200,0
27000,100,22700,200,0
26400,100,23300,200,0
26400,100,23300,200,0
25200,100,24500,200,0
25200,100,24500,200,0
25200,100,24500,200,0
24900,100,24800,200,0
24900,100,24800,200,0
25200,100,24500,200,0
25200,100,24500,200,0
25200,100,24500,200,0
24900,100,24800,200,0
24900,100,24800,200,0
25200,100,24500,200,0
25200,100,24500,200,0
25200,100,24500,200,0
24900,100,24800,200,0
24900,100,24800,200,0
24300,100,25400,200,0
24300,100,25400,200,0
24300,100,25400,200,0
25800,100,23900,200,0
25800,100,23900,200,0
26100,100,23600,200,0
26100,100,23600,200,0
26100,100,23600,200,0
25800,100,23900,200,0
25800,100,23900,200,0
24600,100,25100,200,0
24600,100,25100,200,0
24600,100,25100,200,0
24300,100,25400,200,0
24300,100,25400,200,0
24600,100,25100,200,0
24600,100,25100,200,0
24600,100,25100,200,0
24300,100,25400,200,0
24300,100,25400,200,0
24600,100,25100,200,0
24600,100,25100,200,0
24600,100,25100,200,0
24300,100,25400,200,0
24300,100,25400,200,0
