EXACT_RANGE_EXP,EXACT_RANGE_EXP_2,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_2,EXACT_RANGE_EXP_6,
7200,0,0,172800,0,0,
6600,0,0,173400,0,0,
3600,0,0,176400,0,0,
3600,0,0,176400,0,0,
3600,0,0,176400,0,0,
4500,0,0,175500,0,0,
4500,0,0,175500,0,0,
4500,0,0,175500,0,0,
5100,0,0,174900,0,0,
5100,0,0,174900,0,0,
5100,0,0,174900,0,0,
7500,0,0,172500,0,0,
7200,0,0,172800,0,0,
7200,0,0,172800,0,0,
6600,0,0,173400,0,0,
6600,0,0,173400,0,0,
6600,0,0,173400,0,0,
7200,0,0,172800,0,0,
7200,0,0,172800,0,0,
7200,0,0,172800,0,0,
10800,0,0,169200,0,0,
12000,0,0,168000,0,0,
12000,0,0,168000,0,0,
12900,0,0,167100,0,0,
16500,0,0,163500,0,0,
16500,0,0,163500,0,0,
22500,0,0,157500,0,0,
22500,0,0,157500,0,0,
22500,0,0,157500,0,0,
21900,0,0,158100,0,0,
21900,0,0,158100,0,0,
24000,0,0,156000,0,0,
24600,0,0,155400,0,0,
24600,0,0,155400,0,0,
21000,0,0,159000,0,0,
21600,0,0,158400,0,0,
21600,0,0,158400,0,0,
21600,0,0,158400,0,0,
15600,0,0,164400,0,0,
15600,0,0,164400,0,0,
15600,0,0,164400,0,0,
20400,0,0,159600,0,0,
20400,0,0,159600,0,0,
20400,0,0,159600,0,0,
19800,0,0,160200,0,0,
19800,0,0,160200,0,0,
19800,0,0,160200,0,0,
19200,0,0,160800,0,0,
20400,0,0,159600,0,0,
20400,0,0,159600,0,0,
17700,0,0,162300,0,0,
17700,0,0,162300,0,0,
17700,0,0,162300,0,0,
18600,0,0,161400,0,0,
18600,0,0,161400,0,0,
16200,0,0,163800,0,0,
16800,0,0,163200,0,0,
19200,0,0,160800,0,0,
18900,0,0,161100,0,0,
12900,0,0,167100,0,0,
7500,0,0,172500,0,0,
8400,0,0,171600,0,0,
9000,0,0,171000,0,0,
9000,0,0,171000,0,0,
5400,0,0,174600,0,0,
4800,0,0,175200,0,0,
4800,0,0,175200,0,0,
4800,0,0,175200,0,0,
9300,0,0,170700,0,0,
9300,0,0,170700,0,0,
9300,0,0,170700,0,0,
10500,0,0,169500,0,0,
8700,0,0,171300,0,0,
8700,0,0,171300,0,0,
8100,0,0,171900,0,0,
8100,0,0,171900,0,0,
9300,0,0,170700,0,0,
9900,0,0,170100,0,0,
9900,0,0,170100,0,0,
10500,0,0,169500,0,0,
9900,0,0,170100,0,0,
6300,0,0,173700,0,0,
6300,0,0,173700,0,0,
7800,0,0,172200,0,0,
7800,0,0,172200,0,0,
5400,0,0,174600,0,0,
6000,0,0,174000,0,0,
6000,0,0,174000,0,0,
7200,0,0,172800,0,0,
8100,0,0,171900,0,0,
8100,0,0,171900,0,0,
8700,0,0,171300,0,0,
8100,0,0,171900,0,0,
8100,0,0,171900,0,0,
8100,0,0,171900,0,0,
9300,0,0,170700,0,0,
9300,0,0,170700,0,0,
9000,0,0,171000,0,0,
9900,0,0,170100,0,0,
9900,0,0,170100,0,0,
9900,0,0,170100,0,0,
6300,0,0,173700,0,0,
9300,0,0,170700,0,0,
9600,0,0,170400,0,0,
5400,0,0,174600,0,0,
6600,0,0,173400,0,0,
6600,0,0,173400,0,0,
7500,0,0,172500,0,0,
7500,0,0,172500,0,0,
7500,0,0,172500,0,0,
8700,0,0,171300,0,0,
8700,0,0,171300,0,0,
8700,0,0,171300,0,0,
8700,0,0,171300,0,0,
8700,0,0,171300,0,0,
12300,0,0,167700,0,0,
13200,0,0,166800,0,0,
13200,0,0,166800,0,0,
13200,0,0,166800,0,0,
7800,0,0,172200,0,0,
7800,0,0,172200,0,0,
7800,0,0,172200,0,0,
7200,0,0,172800,0,0,
7200,0,0,172800,0,0,
6000,0,0,174000,0,0,
5400,0,0,174600,0,0,
5400,0,0,174600,0,0,
3000,0,0,177000,0,0,
600,0,0,179400,0,0,
600,0,0,179400,0,0,
600,0,0,179400,0,0,
1200,0,0,178800,0,0,
1200,0,0,178800,0,0,
1200,0,0,178800,0,0,
2400,0,0,177600,0,0,
2400,0,0,177600,0,0,
2400,0,0,177600,0,0,
0,0,0,180000,0,0,
