EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_18_FLOP_EX_LIMIT,EXACT_RANGE_EXP_16_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_18_FLOP_EX_LIMIT,EXACT_RANGE_EXP_16_FLOP_EX_LIMIT,
85000,41100,79600,41400,75300,217600,
85000,41100,69400,40800,75300,228400,
85000,41100,68800,25800,90900,228400,
82600,41100,68200,29700,90600,227800,
88900,41100,62200,29700,90600,227500,
88600,15300,62200,29700,120900,223300,
88600,15000,52000,29700,120900,233800,
88600,45600,37000,29100,105900,233800,
88600,45600,37000,28800,106200,233800,
88600,46800,37000,28800,105600,233200,
88000,46800,37000,28800,105600,233800,
87700,46200,37000,29700,105600,233800,
87700,45900,40300,29700,102600,233800,
87700,59700,39700,16500,102600,233800,
87700,60000,39700,15900,102900,233800,
82300,59400,47200,15300,102600,233200,
81700,59400,47200,15300,103800,232600,
81400,59700,47200,15300,103800,232600,
81400,59400,41800,15300,103200,238900,
81400,59400,41500,15600,103200,238900,
81400,59400,62500,5400,102600,228700,
81400,59400,62500,5400,103200,228100,
81700,59400,62500,5400,103200,227800,
81400,71700,62500,5400,91800,227200,
81400,71400,61900,5400,91800,228100,
81400,67200,61600,9900,91800,228100,
81400,68400,61600,9300,91200,228100,
81400,67800,63100,9300,90900,227500,
80800,67800,63100,23100,85500,219700,
92800,67200,63100,23100,85500,208300,
92800,46200,84100,23100,85500,208300,
86800,46200,83800,29400,85500,208300,
86800,46200,83800,14400,84900,223900,
86800,46200,72400,14400,96900,223300,
82600,46200,72400,14400,101700,222700,
82300,47100,72400,13800,101700,222700,
82300,46800,72700,13800,101700,222700,
82300,68400,43300,0,101700,244300,
82300,68400,43300,0,101700,244300,
82300,68400,43300,0,113100,232900,
81700,68400,43300,0,113100,233500,
105700,44400,43300,0,113100,233500,
105700,52800,42700,0,105300,233500,
105700,52800,42100,0,105900,233500,
105700,52800,42100,0,105900,233500,
105800,52900,42100,0,105600,233600,
85400,52900,42100,0,126300,233300,
85100,53200,42100,0,126300,233300,
85100,34600,60700,0,126300,233300,
84500,17800,38500,0,165900,233300,
72500,17800,38500,0,194700,216500,
72500,17800,38500,0,194400,216800,
71900,17800,30700,0,194400,225200,
67700,22000,30700,0,194400,225200,
52700,7000,60700,0,194400,225200,
52700,7000,49300,0,205800,225200,
52700,7000,49300,0,205800,225200,
53600,7000,49300,0,205500,224600,
53900,7000,49300,0,205500,224300,
54500,6400,49300,0,205500,224300,
53900,0,56300,0,205500,224300,
53900,0,56000,0,205800,224300,
50300,0,56000,0,209400,224300,
50300,0,56000,0,226200,207500,
49700,0,56000,0,227100,207200,
49400,0,68900,0,227100,194600,
47000,0,68900,0,227100,197000,
47000,0,70100,0,226500,196400,
47000,0,55700,0,226500,210800,
47000,0,55700,0,236700,200600,
46400,0,55700,0,236700,201200,
46100,0,56000,0,236700,201200,
46100,0,56000,0,236700,201200,
46100,0,55700,0,237000,201200,
46100,0,55700,0,237000,201200,
46100,0,55700,0,237600,200600,
45500,0,55700,0,237600,201200,
44900,0,56900,0,237000,201200,
44900,0,56900,0,237000,201200,
44900,0,106100,0,212400,176600,
62900,0,95300,0,205200,176600,
62900,0,125300,0,195000,156800,
67100,0,125300,0,195000,152600,
66800,0,124700,0,207300,141200,
80000,0,124700,0,180900,154400,
72200,0,140300,0,173100,154400,
72200,0,140300,0,173100,154400,
72200,0,140300,0,173700,153800,
71600,0,140300,0,174900,153200,
59600,0,139700,0,174900,165800,
59600,0,139700,0,174900,165800,
55400,0,139400,0,179400,165800,
55400,0,139400,0,179400,165800,
55400,0,139400,0,190800,154400,
56600,0,139400,0,190200,153800,
65600,0,130400,0,190200,153800,
65600,0,130400,0,202800,141200,
65600,0,147200,0,186000,141200,
65600,0,147200,0,186000,141200,
65600,0,147200,0,185700,141500,
48800,0,147200,0,203100,140900,
49100,0,146600,0,203100,141200,
49100,0,146600,0,208500,135800,
49100,0,146300,0,208800,135800,
49100,0,148700,0,208800,133400,
49100,0,148100,0,208500,134300,
49400,0,148100,0,208500,134000,
39200,0,158300,0,208500,134000,
46400,0,158300,0,201300,134000,
51500,0,158000,0,197100,133400,
56900,0,152600,0,197100,133400,
56900,0,153500,0,196800,132800,
64700,0,153500,0,196800,125000,
64100,0,154100,0,196800,125000,
73700,0,144500,0,196800,125000,
73700,0,124100,0,217200,125000,
68900,0,119300,0,217200,134600,
68900,0,119300,0,217800,134000,
69200,0,119300,0,217800,133700,
69800,0,118700,0,217800,133700,
69800,0,118700,0,217800,133700,
69200,0,130100,0,217200,123500,
69200,0,130100,0,217200,123500,
61400,0,148700,0,207000,122900,
60800,0,155300,0,201600,122300,
60500,0,155600,0,201600,122300,
60500,0,141200,0,216000,122300,
60500,0,140900,0,216300,122300,
60500,0,140900,0,216300,122300,
60500,0,140900,0,216000,122600,
72200,0,140900,0,204600,122300,
71600,0,141500,0,204600,122300,
69200,0,147500,0,201000,122300,
69200,0,147200,0,200400,123200,
69200,0,147200,0,200400,123200,
69200,0,152900,0,200100,117800,
69500,0,153200,0,200100,117200,
69200,0,175700,0,177900,117200,
69200,0,175700,0,192300,102800,
69200,0,175700,0,192300,102800,
69200,0,175700,0,192300,102800,
69200,0,175700,0,192900,102200,
68600,0,198800,0,170700,101900,
68300,0,199100,0,170700,101900,
68300,0,199100,0,170700,101900,
68300,0,198800,0,171000,101900,
68300,0,198800,0,171000,101900,
68300,0,198800,0,153600,119300,
67700,0,198800,0,153600,119900,
67400,0,199100,0,153600,119900,
67400,0,176300,0,176400,119900,
67400,0,164900,0,187800,119900,
67400,0,164900,0,187800,119900,
67400,0,164900,0,180000,127700,
73700,0,164900,0,174000,127400,
73400,0,165200,0,174000,127400,
57200,0,165200,0,192600,125000,
44000,0,164900,0,206100,125000,
44000,0,199700,0,189900,106400,
43400,0,199700,0,182100,114800,
35600,0,199700,0,182100,122600,
35300,0,199100,0,183000,122600,
25700,0,208700,0,183000,122600,
25700,0,209300,0,182400,122600,
9500,0,193100,0,214800,122600,
9500,0,196400,0,214500,119600,
8900,0,181400,0,199500,150200,
18400,0,180800,0,199500,141300,
4000,0,195200,0,199500,141300,
4000,0,194900,0,199800,141300,
2200,0,196700,0,199800,141300,
0,0,196100,0,192000,151900,
0,0,195500,0,192900,151600,
0,0,195500,0,192900,151600,
0,0,195500,0,192900,151600,
0,0,195200,0,193200,151600,
0,0,195200,0,193200,151600,
0,0,205700,0,192900,141400,
0,0,211100,0,192900,136000,
0,0,211100,0,192900,136000,
0,0,196700,0,207300,136000,
0,0,196400,0,207600,136000,
0,0,196400,0,218400,125200,
0,0,196400,0,210600,133000,
0,0,196700,0,210600,132700,
0,0,203900,0,210600,125500,
0,0,203900,0,210600,125500,
0,0,203600,0,210900,125500,
0,0,206000,0,210900,123100,
0,0,216500,0,210600,112900,
0,0,203300,0,224400,112300,
0,0,203300,0,224400,112300,
0,0,208100,0,224400,107500,
0,0,207500,0,225000,107500,
0,0,205100,0,227400,107500,
0,0,205100,0,224400,110500,
0,0,205400,0,224400,110200,
0,0,205400,0,220800,113800,
0,0,205400,0,224400,110200,
0,0,206000,0,223800,110200,
0,0,206000,0,223800,110200,
0,0,206000,0,224400,109600,
0,0,206300,0,224400,109300,
0,0,206300,0,224400,109300,
0,0,206300,0,224400,109300,
0,0,206900,0,223800,109300,
0,0,221300,0,209400,109300,
0,0,221300,0,210000,108700,
0,0,221900,0,210000,108100,
0,0,221900,0,210000,108100,
0,0,221900,0,222600,95500,
0,0,221600,0,234300,84100,
0,0,221600,0,245100,73300,
0,0,216200,0,244500,79300,
0,0,215600,0,245400,79000,
0,0,215600,0,245400,79000,
0,0,215600,0,245400,79000,
0,0,215300,0,237600,87100,
0,0,215300,0,237600,87100,
0,0,218900,0,237000,84100,
0,0,219200,0,237000,83800,
0,0,219200,0,237000,83800,
0,0,233600,0,222600,83800,
0,0,234200,0,222000,83800,
0,0,234200,0,222000,83800,
0,0,234200,0,222600,83200,
0,0,233600,0,222600,83800,
0,0,231200,0,222600,86200,
0,0,231200,0,222600,86200,
0,0,230900,0,222000,87100,
0,0,230900,0,222000,87100,
0,0,230900,0,221700,87400,
0,0,236300,0,221700,82000,
0,0,243500,0,216900,79600,
0,0,248300,0,216900,74800,
0,0,248000,0,217200,74800,
0,0,248000,0,200400,91600,
0,0,248000,0,199800,92200,
0,0,235400,0,199800,104800,
0,0,235400,0,196200,108400,
0,0,235400,0,196200,108400,
0,0,231200,0,200400,108400,
0,0,231200,0,200400,108400,
0,0,237200,0,199800,103000,
0,0,237500,0,199800,102700,
0,0,247100,0,199800,93100,
0,0,247100,0,190200,102700,
0,0,233900,0,203400,102700,
0,0,233900,0,203400,102700,
0,0,233300,0,195600,111100,
0,0,232700,0,195600,111700,
0,0,232700,0,195600,111700,
0,0,280700,0,171600,87700,
0,0,283700,0,168600,87700,
0,0,283700,0,168600,87700,
0,0,283700,0,168000,88300,
0,0,284000,0,168000,88000,
0,0,284000,0,168000,88000,
0,0,284000,0,170400,85600,
0,0,289400,0,165000,85600,
0,0,289400,0,165000,85600,
0,0,289400,0,164700,85900,
0,0,288800,0,164700,86500,
0,0,288800,0,164700,86500,
0,0,288800,0,164700,86500,
0,0,289400,0,164100,86500,
0,0,289400,0,178500,72100,
0,0,289400,0,179100,71500,
0,0,288800,0,179100,72100,
0,0,288800,0,179100,72100,
0,0,288800,0,179100,72100,
0,0,304400,0,178500,57100,
0,0,304400,0,178500,57100,
0,0,304400,0,153300,82300,
0,0,305000,0,153300,81700,
0,0,297800,0,160500,81700,
0,0,292400,0,165900,81700,
0,0,292100,0,166200,81700,
0,0,292100,0,159000,88900,
0,0,292100,0,158700,89200,
0,0,292700,0,158700,88600,
0,0,302900,0,148500,88600,
0,0,302900,0,148500,88600,
0,0,292100,0,170100,77800,
0,0,288500,0,173700,77800,
0,0,287900,0,173400,78700,
0,0,284900,0,173400,81700,
0,0,284900,0,173400,81700,
0,0,287300,0,171000,81700,
0,0,287000,0,171300,81700,
0,0,287000,0,171300,81700,
0,0,287000,0,171000,82000,
0,0,286400,0,170400,83200,
0,0,286400,0,170400,83200,
0,0,286400,0,170400,83200,
0,0,270200,0,154200,115600,
0,0,270200,0,150600,119200,
0,0,270200,0,150300,119500,
0,0,270500,0,150300,119200,
0,0,270500,0,150300,119200,
0,0,270500,0,150300,119200,
0,0,270500,0,150300,119200,
0,0,270500,0,150300,119200,
0,0,270500,0,150900,118600,
0,0,270800,0,150900,118300,
0,0,249200,0,197700,93100,
0,0,254000,0,192900,93100,
0,0,253700,0,193200,93100,
0,0,253700,0,183600,102700,
0,0,253700,0,184200,102100,
0,0,254000,0,184200,101800,
0,0,254000,0,184200,101800,
0,0,254000,0,184200,101800,
0,0,253700,0,184500,101800,
0,0,253700,0,179700,106600,
0,0,253700,0,179400,106900,
0,0,254000,0,179400,106600,
0,0,248600,0,187200,104200,
0,0,248600,0,187200,104200,
0,0,233600,0,202800,103600,
0,0,233600,0,202800,103600,
0,0,233600,0,202500,103900,
0,0,233000,0,203700,103300,
0,0,235400,0,203700,100900,
0,0,235400,0,190500,114100,
0,0,236600,0,189900,113500,
0,0,236600,0,189900,113500,
0,0,236600,0,201300,102100,
0,0,236900,0,201300,101800,
0,0,248900,0,196500,94600,
0,0,248900,0,196500,94600,
0,0,248600,0,197400,94000,
0,0,252200,0,193800,94000,
0,0,253400,0,193200,93400,
0,0,252800,0,194100,93100,
0,0,252800,0,194100,93100,
0,0,262400,0,194100,83500,
0,0,262100,0,194400,83500,
0,0,266900,0,194400,78700,
0,0,266900,0,195000,78100,
0,0,251900,0,210600,77500,
0,0,251900,0,210600,77500,
0,0,259100,0,210600,70300,
0,0,258800,0,211500,69700,
0,0,258800,0,211500,69700,
0,0,258800,0,210900,70300,
0,0,258200,0,210900,70900,
0,0,258200,0,210900,70900,
0,0,258200,0,200100,81700,
0,0,273200,0,185100,81700,
0,0,273200,0,185100,81700,
0,0,273200,0,185700,81100,
0,0,263000,0,185700,91300,
0,0,263000,0,185700,91300,
0,0,263000,0,176100,100900,
0,0,290000,0,149100,100900,
0,0,290000,0,149100,100900,
0,0,289400,0,148800,101800,
0,0,289700,0,148800,101500,
0,0,289700,0,148800,101500,
0,0,292100,0,146400,101500,
0,0,292100,0,146400,101500,
0,0,292100,0,146400,101500,
0,0,293000,0,146100,100900,
0,0,293300,0,146100,100600,
0,0,293300,0,146100,100600,
0,0,290900,0,146100,103000,
0,0,291500,0,145500,103000,
0,0,291500,0,145500,103000,
0,0,291500,0,145200,103300,
0,0,295100,0,144600,100300,
0,0,314300,0,127800,97900,
0,0,314300,0,127800,97900,
0,0,322100,0,120000,97900,
0,0,326900,0,120000,93100,
0,0,327800,0,119700,92500,
0,0,333200,0,119700,87100,
0,0,333200,0,119700,87100,
0,0,333200,0,119700,87100,
0,0,333800,0,119100,87100,
0,0,333800,0,119100,87100,
0,0,333800,0,118800,87400,
0,0,334100,0,118800,87100,
0,0,338900,0,118800,82300,
0,0,331700,0,126000,82300,
0,0,331400,0,126300,82300,
0,0,331400,0,126300,82300,
0,0,331400,0,126000,82600,
0,0,332600,0,125400,82000,
0,0,311000,0,147000,82000,
0,0,305600,0,152400,82000,
0,0,305000,0,153000,82000,
0,0,290600,0,167400,82000,
0,0,290600,0,182400,67000,
0,0,291200,0,182400,66400,
0,0,285800,0,202200,52000,
0,0,285800,0,202200,52000,
0,0,285500,0,202500,52000,
0,0,287900,0,202500,49600,
0,0,288800,0,202200,49000,
0,0,289100,0,202200,48700,
0,0,291500,0,202200,46300,
0,0,291500,0,202200,46300,
0,0,308900,0,185400,45700,
0,0,308900,0,185400,45700,
0,0,308900,0,185100,46000,
0,0,308300,0,186000,45700,
0,0,308300,0,186000,45700,
0,0,308300,0,186000,45700,
0,0,308900,0,185400,45700,
0,0,308900,0,185400,45700,
0,0,308900,0,185100,46000,
0,0,309500,0,185100,45400,
0,0,309500,0,185100,45400,
0,0,309500,0,185100,45400,
0,0,312500,0,182100,45400,
0,0,323300,0,171300,45400,
0,0,323300,0,171000,45700,
0,0,331100,0,171000,37900,
0,0,331100,0,171000,37900,
0,0,319100,0,171000,49900,
0,0,318800,0,171300,49900,
0,0,318800,0,171300,49900,
0,0,318800,0,170700,50500,
0,0,318200,0,170700,51100,
0,0,318200,0,170700,51100,
0,0,318200,0,173100,48700,
0,0,317900,0,173400,48700,
0,0,317900,0,173400,48700,
0,0,319100,0,172800,48100,
0,0,318500,0,174000,47500,
0,0,318500,0,174000,47500,
0,0,323300,0,174000,42700,
0,0,323000,0,174300,42700,
0,0,323000,0,174300,42700,
0,0,323000,0,174900,42100,
0,0,330800,0,174900,34300,
0,0,330800,0,174900,34300,
0,0,333200,0,172500,34300,
0,0,332600,0,171900,35500,
0,0,332600,0,171900,35500,
0,0,332600,0,171300,36100,
0,0,332900,0,171300,35800,
0,0,332900,0,171300,35800,
0,0,332900,0,171300,35800,
0,0,332600,0,171600,35800,
0,0,332600,0,171600,35800,
0,0,332600,0,172200,35200,
0,0,332000,0,173400,34600,
0,0,341600,0,168600,29800,
0,0,352400,0,165000,22600,
0,0,344600,0,172800,22600,
0,0,344600,0,176400,19000,
0,0,344600,0,168600,26800,
0,0,344900,0,168600,26500,
0,0,344900,0,168600,26500,
0,0,344900,0,168600,26500,
0,0,344600,0,168900,26500,
0,0,344600,0,179700,15700,
0,0,344600,0,179400,16000,
0,0,344900,0,179400,15700,
0,0,344900,0,181800,13300,
0,0,358200,0,181800,0,
0,0,373200,0,166800,0,
0,0,373200,0,166800,0,
0,0,372600,0,167400,0,
0,0,388800,0,151200,0,
0,0,372600,0,167400,0,
0,0,372600,0,167400,0,
0,0,390000,0,150000,0,
0,0,390000,0,150000,0,
0,0,390000,0,150000,0,
0,0,390000,0,150000,0,
0,0,390000,0,150000,0,
0,0,390000,0,150000,0,
0,0,390000,0,150000,0,
0,0,410400,0,129600,0,
0,0,410700,0,129300,0,
0,0,410700,0,129300,0,
0,0,405300,0,134700,0,
0,0,405300,0,134700,0,
0,0,404700,0,135300,0,
0,0,404700,0,135300,0,
0,0,407700,0,132300,0,
0,0,407700,0,132300,0,
0,0,420900,0,119100,0,
0,0,437700,0,102300,0,
0,0,437400,0,102600,0,
0,0,447000,0,93000,0,
0,0,452400,0,87600,0,
0,0,452400,0,87600,0,
0,0,452400,0,87600,0,
0,0,452400,0,87600,0,
0,0,452100,0,87900,0,
0,0,452100,0,87900,0,
0,0,452700,0,87300,0,
0,0,452700,0,87300,0,
0,0,452700,0,87300,0,
0,0,452700,0,87300,0,
0,0,464100,0,75900,0,
0,0,464100,0,75900,0,
0,0,464400,0,75600,0,
0,0,448200,0,91800,0,
0,0,448200,0,91800,0,
0,0,448200,0,91800,0,
0,0,460800,0,79200,0,
0,0,460800,0,79200,0,
0,0,455400,0,84600,0,
0,0,455400,0,84600,0,
0,0,455400,0,84600,0,
0,0,455400,0,84600,0,
0,0,454800,0,85200,0,
0,0,454800,0,85200,0,
0,0,465000,0,75000,0,
0,0,472200,0,67800,0,
0,0,481800,0,58200,0,
0,0,481800,0,58200,0,
0,0,474000,0,66000,0,
0,0,468600,0,71400,0,
0,0,468900,0,71100,0,
0,0,468900,0,71100,0,
0,0,461700,0,78300,0,
0,0,461700,0,78300,0,
0,0,461400,0,78600,0,
0,0,478200,0,61800,0,
0,0,494400,0,45600,0,
0,0,494400,0,45600,0,
0,0,499200,0,40800,0,
0,0,499200,0,40800,0,
0,0,487800,0,52200,0,
0,0,487800,0,52200,0,
0,0,487800,0,52200,0,
0,0,480600,0,59400,0,
0,0,502200,0,37800,0,
0,0,502200,0,37800,0,
0,0,502800,0,37200,0,
0,0,502800,0,37200,0,
0,0,502200,0,37800,0,
0,0,502200,0,37800,0,
0,0,502200,0,37800,0,
0,0,502200,0,37800,0,
0,0,501600,0,38400,0,
0,0,501600,0,38400,0,
0,0,501900,0,38100,0,
0,0,519900,0,20100,0,
0,0,519900,0,20100,0,
0,0,519900,0,20100,0,
0,0,519600,0,20400,0,
0,0,519600,0,20400,0,
0,0,519900,0,20100,0,
0,0,519900,0,20100,0,
0,0,529500,0,10500,0,
0,0,529500,0,10500,0,
0,0,529200,0,10800,0,
0,0,529200,0,10800,0,
0,0,528600,0,11400,0,
0,0,535800,0,4200,0,
0,0,535800,0,4200,0,
0,0,535800,0,4200,0,
0,0,535500,0,4500,0,
0,0,535500,0,4500,0,
0,0,536100,0,3900,0,
0,0,536100,0,3900,0,
0,0,536100,0,3900,0,
0,0,536100,0,3900,0,
0,0,535500,0,4500,0,
0,0,535500,0,4500,0,
0,0,535800,0,4200,0,
0,0,535800,0,4200,0,
0,0,540000,0,0,0,
